2025-10-15 08:08:15 EEST | INFO     | 🔍 АНАЛИЗ: RUNEUSDT | Режим: TREND | Bias: bearish
2025-10-15 08:08:16 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -4: ADX слишком слабый (11.4 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -3: ADX слишком слабый (11.0 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -2: ADX слишком слабый (10.7 < 20)
2025-10-15 08:08:16 EEST | DEBUG    |     ❌ Нет недавнего пробоя swing level с объемом >1.5x, расстоянием ≥0.25 ATR и ADX > 20
2025-10-15 08:08:16 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-15 08:08:16 EEST | DEBUG    |   ⏭️  ATR Momentum - отключена
2025-10-15 08:08:16 EEST | DEBUG    |   ⏭️  VWAP Mean Reversion - отключена
2025-10-15 08:08:16 EEST | DEBUG    |   ⏭️  Range Fade - отключена
2025-10-15 08:08:16 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-15 08:08:24 EEST | DEBUG    |     ❌ Цена не около VAH/VAL (расстояние > 0.3 ATR)
2025-10-15 08:08:24 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-15 08:08:24 EEST | DEBUG    |   ⏭️  RSI/Stoch MR - отключена
2025-10-15 08:08:24 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-15 08:08:24 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-15 08:08:24 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-15 08:08:32 EEST | DEBUG    |     ❌ Цена не около ключевого уровня VAH/VAL/POC (расстояние > 0.3 ATR)
2025-10-15 08:08:32 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-15 08:08:32 EEST | DEBUG    |   ⏭️  CVD Divergence - отключена
2025-10-15 08:08:32 EEST | DEBUG    |   ⏭️  Time-of-Day - отключена
2025-10-15 08:08:32 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-15 08:08:32 EEST | DEBUG    |     ❌ Стратегия отключена: нет данных funding rate
2025-10-15 08:08:32 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-15 08:08:32 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-15 08:08:32 EEST | INFO     | 📈 Итого: проверено 6, пропущено 10, сигналов 0
2025-10-15 08:08:32 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-15 08:08:33 EEST | INFO     | 
================================================================================
2025-10-15 08:08:33 EEST | INFO     | 🔍 АНАЛИЗ: SUSHIUSDT | Режим: TREND | Bias: bearish
2025-10-15 08:08:34 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-15 08:08:34 EEST | DEBUG    |   ⏭️  Donchian Breakout - отключена
2025-10-15 08:08:34 EEST | DEBUG    |   ⏭️  Squeeze Breakout - отключена
2025-10-15 08:08:34 EEST | DEBUG    |   ⏭️  ORB/IRB - отключена
2025-10-15 08:08:34 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (4h)
2025-10-15 08:08:34 EEST | DEBUG    |     ❌ Объем низкий: 0.29x < 0.72x (адаптивный)
2025-10-15 08:08:34 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-15 08:08:34 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -20: ADX слишком слабый (15.9 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -19: ADX слишком слабый (14.9 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -18: ADX слишком слабый (13.9 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -17: ADX слишком слабый (13.2 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -16: ADX слишком слабый (12.6 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -15: ADX слишком слабый (12.5 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -14: ADX слишком слабый (12.5 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -13: ADX слишком слабый (11.6 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -12: ADX слишком слабый (10.8 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -11: ADX слишком слабый (10.9 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -10: ADX слишком слабый (11.9 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -9: ADX слишком слабый (12.9 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -8: ADX слишком слабый (12.6 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -7: ADX слишком слабый (12.2 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -6: ADX слишком слабый (12.0 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -5: ADX слишком слабый (11.5 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -4: ADX слишком слабый (11.1 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -3: ADX слишком слабый (11.0 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -2: ADX слишком слабый (11.0 < 20)
2025-10-15 08:08:34 EEST | DEBUG    |     ❌ Нет недавнего пробоя swing level с объемом >1.5x, расстоянием ≥0.25 ATR и ADX > 20
2025-10-15 08:08:34 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-15 08:08:34 EEST | DEBUG    |   ⏭️  ATR Momentum - отключена
2025-10-15 08:08:34 EEST | DEBUG    |   ⏭️  VWAP Mean Reversion - отключена
2025-10-15 08:08:34 EEST | DEBUG    |   ⏭️  Range Fade - отключена
2025-10-15 08:08:34 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-15 08:08:42 EEST | DEBUG    |     ❌ Цена не около VAH/VAL (расстояние > 0.3 ATR)
2025-10-15 08:08:42 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-15 08:08:42 EEST | DEBUG    |   ⏭️  RSI/Stoch MR - отключена
2025-10-15 08:08:42 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-15 08:08:42 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-15 08:08:42 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-15 08:08:50 EEST | DEBUG    |     ❌ Объем низкий: 1.02x < 1.5x
2025-10-15 08:08:50 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-15 08:08:50 EEST | DEBUG    |   ⏭️  CVD Divergence - отключена
2025-10-15 08:08:50 EEST | DEBUG    |   ⏭️  Time-of-Day - отключена
2025-10-15 08:08:50 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-15 08:08:50 EEST | DEBUG    |     ❌ Стратегия отключена: нет данных funding rate
2025-10-15 08:08:50 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-15 08:08:50 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-15 08:08:50 EEST | INFO     | 📈 Итого: проверено 6, пропущено 10, сигналов 0
2025-10-15 08:08:50 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-15 08:08:51 EEST | INFO     | 
================================================================================
2025-10-15 08:08:51 EEST | INFO     | 🔍 АНАЛИЗ: EGLDUSDT | Режим: TREND | Bias: bearish
2025-10-15 08:08:52 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-15 08:08:52 EEST | DEBUG    |   ⏭️  Donchian Breakout - отключена
2025-10-15 08:08:52 EEST | DEBUG    |   ⏭️  Squeeze Breakout - отключена
2025-10-15 08:08:52 EEST | DEBUG    |   ⏭️  ORB/IRB - отключена
2025-10-15 08:08:52 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (4h)
2025-10-15 08:08:52 EEST | DEBUG    |     ❌ Объем низкий: 0.13x < 0.72x (адаптивный)
2025-10-15 08:08:52 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-15 08:08:52 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -20: ADX слишком слабый (10.2 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -19: ADX слишком слабый (10.7 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -18: ADX слишком слабый (11.1 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -17: ADX слишком слабый (10.9 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -16: ADX слишком слабый (10.5 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -15: ADX слишком слабый (11.0 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -14: ADX слишком слабый (11.6 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -13: ADX слишком слабый (11.4 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -12: ADX слишком слабый (11.1 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -11: ADX слишком слабый (10.7 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -10: ADX слишком слабый (11.2 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -9: ADX слишком слабый (11.5 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -8: ADX слишком слабый (10.7 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -7: ADX слишком слабый (10.1 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -6: ADX слишком слабый (9.6 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -5: ADX слишком слабый (10.0 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -4: ADX слишком слабый (10.4 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -3: ADX слишком слабый (9.8 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -2: ADX слишком слабый (9.3 < 20)
2025-10-15 08:08:52 EEST | DEBUG    |     ❌ Нет недавнего пробоя swing level с объемом >1.5x, расстоянием ≥0.25 ATR и ADX > 20
2025-10-15 08:08:52 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-15 08:08:52 EEST | DEBUG    |   ⏭️  ATR Momentum - отключена
2025-10-15 08:08:52 EEST | DEBUG    |   ⏭️  VWAP Mean Reversion - отключена
2025-10-15 08:08:52 EEST | DEBUG    |   ⏭️  Range Fade - отключена
2025-10-15 08:08:52 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-15 08:09:00 EEST | DEBUG    |     ❌ Цена не около VAH/VAL (расстояние > 0.3 ATR)
2025-10-15 08:09:00 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-15 08:09:00 EEST | DEBUG    |   ⏭️  RSI/Stoch MR - отключена
2025-10-15 08:09:00 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-15 08:09:00 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-15 08:09:00 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-15 08:09:09 EEST | DEBUG    |     ❌ Объем низкий: 0.93x < 1.5x
2025-10-15 08:09:09 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-15 08:09:09 EEST | DEBUG    |   ⏭️  CVD Divergence - отключена
2025-10-15 08:09:09 EEST | DEBUG    |   ⏭️  Time-of-Day - отключена
2025-10-15 08:09:09 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-15 08:09:09 EEST | DEBUG    |     ❌ Стратегия отключена: нет данных funding rate
2025-10-15 08:09:09 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-15 08:09:09 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-15 08:09:09 EEST | INFO     | 📈 Итого: проверено 6, пропущено 10, сигналов 0
2025-10-15 08:09:09 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-15 08:09:10 EEST | INFO     | 
================================================================================
2025-10-15 08:09:10 EEST | INFO     | 🔍 АНАЛИЗ: SOLUSDT | Режим: TREND | Bias: bearish
2025-10-15 08:09:10 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-15 08:09:10 EEST | DEBUG    |   ⏭️  Donchian Breakout - отключена
2025-10-15 08:09:10 EEST | DEBUG    |   ⏭️  Squeeze Breakout - отключена
2025-10-15 08:09:10 EEST | DEBUG    |   ⏭️  ORB/IRB - отключена
2025-10-15 08:09:10 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (4h)
2025-10-15 08:09:10 EEST | DEBUG    |     ❌ Объем низкий: 0.20x < 0.72x (адаптивный)
2025-10-15 08:09:10 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-15 08:09:10 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -20: ADX слишком слабый (10.3 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -19: ADX слишком слабый (9.9 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -18: ADX слишком слабый (9.3 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -17: ADX слишком слабый (9.0 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -16: ADX слишком слабый (9.4 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -15: ADX слишком слабый (8.8 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -14: ADX слишком слабый (8.7 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -13: ADX слишком слабый (8.8 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -12: ADX слишком слабый (8.8 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -11: ADX слишком слабый (9.5 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -10: ADX слишком слабый (9.6 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -9: ADX слишком слабый (9.8 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -8: ADX слишком слабый (9.2 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -7: ADX слишком слабый (8.8 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -6: ADX слишком слабый (8.5 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -5: ADX слишком слабый (9.1 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -4: ADX слишком слабый (9.8 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -3: ADX слишком слабый (9.9 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -2: ADX слишком слабый (9.8 < 20)
2025-10-15 08:09:10 EEST | DEBUG    |     ❌ Нет недавнего пробоя swing level с объемом >1.5x, расстоянием ≥0.25 ATR и ADX > 20
2025-10-15 08:09:10 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-15 08:09:10 EEST | DEBUG    |   ⏭️  ATR Momentum - отключена
2025-10-15 08:09:10 EEST | DEBUG    |   ⏭️  VWAP Mean Reversion - отключена
2025-10-15 08:09:10 EEST | DEBUG    |   ⏭️  Range Fade - отключена
2025-10-15 08:09:10 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-15 08:09:19 EEST | DEBUG    |     ❌ Цена не около VAH/VAL (расстояние > 0.3 ATR)
2025-10-15 08:09:19 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-15 08:09:19 EEST | DEBUG    |   ⏭️  RSI/Stoch MR - отключена
2025-10-15 08:09:19 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-15 08:09:19 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-15 08:09:19 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-15 08:09:27 EEST | DEBUG    |     ❌ Объем низкий: 0.91x < 1.5x
2025-10-15 08:09:27 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-15 08:09:27 EEST | DEBUG    |   ⏭️  CVD Divergence - отключена
2025-10-15 08:09:27 EEST | DEBUG    |   ⏭️  Time-of-Day - отключена
2025-10-15 08:09:27 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-15 08:09:27 EEST | DEBUG    |     ❌ Стратегия отключена: нет данных funding rate
2025-10-15 08:09:27 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-15 08:09:27 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-15 08:09:27 EEST | INFO     | 📈 Итого: проверено 6, пропущено 10, сигналов 0
2025-10-15 08:09:27 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-15 08:09:28 EEST | INFO     | 
================================================================================
2025-10-15 08:09:28 EEST | INFO     | 🔍 АНАЛИЗ: UNIUSDT | Режим: TREND | Bias: bearish
2025-10-15 08:09:28 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-15 08:09:28 EEST | DEBUG    |   ⏭️  Donchian Breakout - отключена
2025-10-15 08:09:28 EEST | DEBUG    |   ⏭️  Squeeze Breakout - отключена
2025-10-15 08:09:28 EEST | DEBUG    |   ⏭️  ORB/IRB - отключена
2025-10-15 08:09:28 EEST | DEBUG    |   🔍 Проверка: MA/VWAP Pullback (4h)
2025-10-15 08:09:28 EEST | DEBUG    |     ❌ Объем низкий: 0.22x < 0.72x (адаптивный)
2025-10-15 08:09:28 EEST | DEBUG    |   ⚪ MA/VWAP Pullback → нет сигнала
2025-10-15 08:09:28 EEST | DEBUG    |   🔍 Проверка: Break & Retest (15m)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -20: ADX слишком слабый (10.4 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -19: ADX слишком слабый (10.1 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -18: ADX слишком слабый (9.8 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -17: ADX слишком слабый (9.1 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -16: ADX слишком слабый (8.6 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -15: ADX слишком слабый (9.0 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -14: ADX слишком слабый (9.7 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -13: ADX слишком слабый (9.2 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -12: ADX слишком слабый (8.7 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -11: ADX слишком слабый (8.6 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -10: ADX слишком слабый (9.2 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -9: ADX слишком слабый (9.7 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -8: ADX слишком слабый (9.9 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -7: ADX слишком слабый (9.7 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -6: ADX слишком слабый (9.6 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -5: ADX слишком слабый (9.8 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -4: ADX слишком слабый (10.1 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -3: ADX слишком слабый (9.7 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ⚠️ Пропуск пробоя на баре -2: ADX слишком слабый (9.5 < 20)
2025-10-15 08:09:28 EEST | DEBUG    |     ❌ Нет недавнего пробоя swing level с объемом >1.5x, расстоянием ≥0.25 ATR и ADX > 20
2025-10-15 08:09:28 EEST | DEBUG    |   ⚪ Break & Retest → нет сигнала
2025-10-15 08:09:28 EEST | DEBUG    |   ⏭️  ATR Momentum - отключена
2025-10-15 08:09:28 EEST | DEBUG    |   ⏭️  VWAP Mean Reversion - отключена
2025-10-15 08:09:28 EEST | DEBUG    |   ⏭️  Range Fade - отключена
2025-10-15 08:09:28 EEST | DEBUG    |   🔍 Проверка: Volume Profile (15m)
2025-10-15 08:09:37 EEST | DEBUG    |     ❌ Цена не около VAH/VAL (расстояние > 0.3 ATR)
2025-10-15 08:09:37 EEST | DEBUG    |   ⚪ Volume Profile → нет сигнала
2025-10-15 08:09:37 EEST | DEBUG    |   ⏭️  RSI/Stoch MR - отключена
2025-10-15 08:09:37 EEST | DEBUG    |   🔍 Проверка: Liquidity Sweep (15m)
2025-10-15 08:09:37 EEST | DEBUG    |   ⚪ Liquidity Sweep → нет сигнала
2025-10-15 08:09:37 EEST | DEBUG    |   🔍 Проверка: Order Flow (15m)
2025-10-15 08:09:45 EEST | DEBUG    |     ❌ Объем низкий: 1.17x < 1.5x
2025-10-15 08:09:45 EEST | DEBUG    |   ⚪ Order Flow → нет сигнала
2025-10-15 08:09:45 EEST | DEBUG    |   ⏭️  CVD Divergence - отключена
2025-10-15 08:09:45 EEST | DEBUG    |   ⏭️  Time-of-Day - отключена
2025-10-15 08:09:45 EEST | DEBUG    |   🔍 Проверка: Cash-and-Carry (1h)
2025-10-15 08:09:45 EEST | DEBUG    |     ❌ Стратегия отключена: нет данных funding rate
2025-10-15 08:09:45 EEST | DEBUG    |   ⚪ Cash-and-Carry → нет сигнала
2025-10-15 08:09:45 EEST | DEBUG    |   ⏭️  Market Making - отключена
2025-10-15 08:09:45 EEST | INFO     | 📈 Итого: проверено 6, пропущено 10, сигналов 0
2025-10-15 08:09:45 EEST | INFO     | ⚪ Ни одна стратегия не дала сигнал
2025-10-15 08:09:46 EEST | INFO     | 
================================================================================
2025-10-15 08:09:46 EEST | INFO     | 🔍 АНАЛИЗ: AVAXUSDT | Режим: TREND | Bias: bearish
2025-10-15 08:09:46 EEST | INFO     | 📋 Проверка 16 стратегий...
2025-10-15 08:09:46 EEST | DEBUG    |   ⏭️  Donchian Breakout - отключена
2025-10-15 08:09:46 EEST | DEBUG    |   ⏭️  Squeeze Breakout - отключена
